Data,Hora,Planta,Sensor,Umidade_Solo (%),Temperatura_Ar (°C),Umidade_Ar (%)
2024-12-01,00:00:00,Alface Roxa,1,50.32,21.12,74.97
2024-12-01,00:00:00,Rúcula,2,50.08,21.12,74.97
2024-12-01,00:00:00,Cebolinha,3,50.34,21.12,74.97
2024-12-01,00:00:00,Couve,4,50.18,21.12,74.97
2024-12-01,00:30:00,Alface Roxa,1,50.53,21.52,82.03
2024-12-01,00:30:00,Rúcula,2,50.39,21.52,82.03
2024-12-01,00:30:00,Cebolinha,3,50.64,21.52,82.03
2024-12-01,00:30:00,Couve,4,50.29,21.52,82.03
2024-12-01,01:00:00,Alface Roxa,1,50.66,20.62,73.81
2024-12-01,01:00:00,Rúcula,2,50.66,20.62,73.81
2024-12-01,01:00:00,Cebolinha,3,50.85,20.62,73.81
2024-12-01,01:00:00,Couve,4,50.55,20.62,73.81
2024-12-01,01:30:00,Alface Roxa,1,50.82,21.77,89.82
2024-12-01,01:30:00,Rúcula,2,50.74,21.77,89.82
2024-12-01,01:30:00,Cebolinha,3,50.95,21.77,89.82
2024-12-01,01:30:00,Couve,4,50.63,21.77,89.82
2024-12-01,02:00:00,Alface Roxa,1,50.98,20.8,81.38
2024-12-01,02:00:00,Rúcula,2,50.83,20.8,81.38
2024-12-01,02:00:00,Cebolinha,3,51.01,20.8,81.38
2024-12-01,02:00:00,Couve,4,50.85,20.8,81.38
2024-12-01,02:30:00,Alface Roxa,1,51.16,21.68,80.42
2024-12-01,02:30:00,Rúcula,2,51.0,21.68,80.42
2024-12-01,02:30:00,Cebolinha,3,51.2,21.68,80.42
2024-12-01,02:30:00,Couve,4,50.92,21.68,80.42
2024-12-01,03:00:00,Alface Roxa,1,51.22,20.02,75.45
2024-12-01,03:00:00,Rúcula,2,51.06,20.02,75.45
2024-12-01,03:00:00,Cebolinha,3,51.26,20.02,75.45
2024-12-01,03:00:00,Couve,4,51.06,20.02,75.45
2024-12-01,03:30:00,Alface Roxa,1,51.36,20.46,84.42
2024-12-01,03:30:00,Rúcula,2,51.19,20.46,84.42
2024-12-01,03:30:00,Cebolinha,3,51.31,20.46,84.42
2024-12-01,03:30:00,Couve,4,51.21,20.46,84.42
